split,date,symbol,side,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
train,2025-12-12,btcusdt,buy,5,1850211,5974417015.4145,0.10987532029758752,-0.0973606841028487
train,2025-12-12,btcusdt,sell,5,1906119,6227468594.7658,-0.11138964516917192,-0.21962229935371574
train,2025-12-12,btcusdt,buy,10,1850211,5974417015.4145,0.22732843637199937,-0.033516392227005476
train,2025-12-12,btcusdt,sell,10,1906119,6227468594.7658,-0.29395025797958807,-0.32810387081696213
train,2025-12-12,btcusdt,buy,30,1850211,5974417015.4145,0.5164014586650745,0.1821020061406208
train,2025-12-12,btcusdt,sell,30,1906119,6227468594.7658,-0.6777548970268917,-0.582307587705513
train,2025-12-12,btcusdt,buy,60,1850211,5974417015.4145,0.7554478332740495,0.465246589415948
train,2025-12-12,btcusdt,sell,60,1906119,6227468594.7658,-1.022914751662065,-0.8101499631580112
train,2025-12-12,btcusdt,buy,120,1850211,5974417015.4145,1.7258142311709845,1.1554531166057445
train,2025-12-12,btcusdt,sell,120,1906119,6227468594.7658,-1.4263466878162765,-1.2637160530996665
train,2025-12-12,btcusdt,buy,300,1850211,5974417015.4145,5.045894051046757,3.5673818482307906
train,2025-12-12,btcusdt,sell,300,1906119,6227468594.7658,-5.322829206115674,-3.979355305158296
train,2025-12-13,btcusdt,buy,1,468016,1440775441.2125998,0.03839022935540636,0.08633125364126532
train,2025-12-13,btcusdt,sell,1,464707,1532732100.3857996,0.14077952178017705,0.12916515207021892
train,2025-12-13,btcusdt,buy,5,468016,1440775441.2125998,-0.08737100891588155,-0.06808273231193267
train,2025-12-13,btcusdt,sell,5,464707,1532732100.3857996,0.05608922121013222,0.022914312365348175
train,2025-12-13,btcusdt,buy,10,468016,1440775441.2125998,-0.08220642948504416,-0.1069826935931595
train,2025-12-13,btcusdt,sell,10,464707,1532732100.3857996,-0.02276928275419147,-0.057411675172016764
train,2025-12-13,btcusdt,buy,30,468016,1440775441.2125998,0.014757754953303273,-0.12598363217178932
train,2025-12-13,btcusdt,sell,30,464707,1532732100.3857996,-0.12134865441233815,-0.13384036866804194
train,2025-12-13,btcusdt,buy,60,468016,1440775441.2125998,0.053953120913883545,-0.07203279648715631
train,2025-12-13,btcusdt,sell,60,464707,1532732100.3857996,0.08285004008648025,0.021163309569938626
train,2025-12-13,btcusdt,buy,120,468016,1440775441.2125998,-0.013522832636113641,-0.14476802214341006
train,2025-12-13,btcusdt,sell,120,464707,1532732100.3857996,0.37735665303384414,0.26809505888010843
train,2025-12-13,btcusdt,buy,300,468016,1440775441.2125998,-0.06635667351960894,-0.09196471754649767
train,2025-12-13,btcusdt,sell,300,464707,1532732100.3857996,0.5490688379708303,0.410008042918893
train,2025-12-14,btcusdt,buy,1,1131988,3510608085.4824,0.04355308774990667,0.010931929699040915
train,2025-12-14,btcusdt,sell,1,1196837,3931775944.38,-0.16087486968336218,-0.14424019278990102
train,2025-12-14,btcusdt,buy,5,1131988,3510608085.4824,-0.3234427340673437,-0.3263250409835447
train,2025-12-14,btcusdt,sell,5,1196837,3931775944.38,0.34281833731486083,-0.005318427063821343
train,2025-12-14,btcusdt,buy,10,1131988,3510608085.4824,-0.48949940746395126,-0.43262947904841204
train,2025-12-14,btcusdt,sell,10,1196837,3931775944.38,0.6773019998415952,0.1293538962907366
train,2025-12-14,btcusdt,buy,30,1131988,3510608085.4824,-0.8593363297763041,-0.7359376904510646
train,2025-12-14,btcusdt,sell,30,1196837,3931775944.38,1.0971713717341607,0.39907096332373126
train,2025-12-14,btcusdt,buy,60,1131988,3510608085.4824,-1.1032254717735002,-0.9320081218974849
train,2025-12-14,btcusdt,sell,60,1196837,3931775944.38,2.1887139203696497,1.0537597382766053
train,2025-12-14,btcusdt,buy,120,1131988,3510608085.4824,-1.5745893796459276,-1.268509383157919
train,2025-12-14,btcusdt,sell,120,1196837,3931775944.38,3.2951532142106874,1.7740645745675097
train,2025-12-14,btcusdt,buy,300,1131988,3510608085.4824,-0.8353918034650817,-0.7855585640475793
train,2025-12-14,btcusdt,sell,300,1196837,3931775944.38,3.1504760393119513,1.779203824037831
train,2025-12-15,btcusdt,buy,1,2489310,7614268046.054799,-0.006237126805399904,-0.10640087228999706
train,2025-12-15,btcusdt,sell,1,2444895,7934019415.933498,-0.005194570676464166,-0.08655659923155105
train,2025-12-15,btcusdt,buy,5,2489310,7614268046.054799,-0.10539861348166325,-0.2433876177860203
train,2025-12-15,btcusdt,sell,5,2444895,7934019415.933498,-0.05281897469187703,-0.21629461027723546
train,2025-12-15,btcusdt,buy,10,2489310,7614268046.054799,-0.08240365692017383,-0.22193122617245825
train,2025-12-15,btcusdt,sell,10,2444895,7934019415.933498,-0.06064016114864156,-0.2766622310980575
train,2025-12-15,btcusdt,buy,30,2489310,7614268046.054799,0.13462333990630349,0.06472433237649843
train,2025-12-15,btcusdt,sell,30,2444895,7934019415.933498,-0.10060281548120764,-0.36151853544454177
train,2025-12-15,btcusdt,buy,60,2489310,7614268046.054799,0.5833646248163776,0.5703252424705421
train,2025-12-15,btcusdt,sell,60,2444895,7934019415.933498,-0.5848125961919949,-0.8473186138954483
train,2025-12-15,btcusdt,buy,120,2489310,7614268046.054799,1.4326394562799922,1.5544170501864096
train,2025-12-15,btcusdt,sell,120,2444895,7934019415.933498,-1.1098138497025385,-1.4813990096429344
train,2025-12-15,btcusdt,buy,300,2489310,7614268046.054799,4.931640458450124,4.575544242812171
train,2025-12-15,btcusdt,sell,300,2444895,7934019415.933498,-5.099407838681099,-4.766473624657649
