asof_mode,split,date,symbol,side,price_location,rows,share_within_side
same_timestamp_allowed,train,2025-12-04,btcusdt,sell,missing_bbo,5,2.3877141600523006e-6
strictly_previous_bbo,train,2025-12-04,btcusdt,sell,missing_bbo,5,2.3877141600523006e-6
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,above_ask,1284479,0.5735914961493497
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,above_ask,1291734,0.5768312581887163
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,at_ask,917675,0.40979305712966463
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,at_ask,909500,0.4061424637910262
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,inside_spread,7295,0.0032576242697696933
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,inside_spread,7391,0.00330049362273719
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,at_bid,2095,0.0009355343173636062
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,at_bid,2135,0.00095339654776673
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,below_bid,27818,0.01242228813385241
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,below_bid,28602,0.012772387849753635
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-05,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-05,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,above_ask,27206,0.011953931273023818
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,above_ask,27902,0.01225974382047749
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,at_ask,2031,0.0008923926492505835
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,at_ask,2057,0.0009038166811956919
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,inside_spread,6661,0.002926749107167965
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,inside_spread,6825,0.0029988083855909562
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,at_bid,868280,0.3815099406653356
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,at_bid,859950,0.3778498565844605
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,below_bid,1371726,0.602716986305222
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,below_bid,1379170,0.6059877745282753
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-05,btcusdt,sell,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-05,btcusdt,sell,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,above_ask,405739,0.5168866971477782
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,above_ask,408054,0.5198358657115522
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,at_ask,373732,0.47611173463343043
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,at_ask,371316,0.47303389824030817
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,inside_spread,1270,0.0016179024086362865
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,inside_spread,1282,0.001633189675489543
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,at_bid,290,0.0003694422822870261
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,at_bid,294,0.00037453803790477816
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,below_bid,3936,0.00501422352786805
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,below_bid,4021,0.005122508334745282
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,outside_or_ambiguous,0,0.0
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,outside_or_ambiguous,0,0.0
same_timestamp_allowed,train,2025-12-06,btcusdt,buy,missing_bbo,0,0.0
strictly_previous_bbo,train,2025-12-06,btcusdt,buy,missing_bbo,0,0.0
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,above_ask,3927,0.004867793601584667
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,above_ask,4025,0.004989271516775728
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,at_ask,306,0.00037930859233127276
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,at_ask,306,0.00037930859233127276
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,inside_spread,1401,0.0017366383590069056
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,inside_spread,1430,0.0017725859053389543
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,at_bid,381607,0.47302880390117646
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,at_bid,378960,0.46974766062045464
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,below_bid,419490,0.5199874555459006
strictly_previous_bbo,train,2025-12-06,btcusdt,sell,below_bid,422010,0.5231111733650994
same_timestamp_allowed,train,2025-12-06,btcusdt,sell,outside_or_ambiguous,0,0.0
