split,symbol,side,venue,window_seconds,signed_liq_bucket,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,sell,bybit,5,neg_1e1,120,265150,731526726.4696999,-0.7855368602168376,-1.3743135385995262
validation,btcusdt,sell,bybit,5,neg_1e5,120,1574662,5783189309.733287,1.347090731090028,0.8260805867937167
validation,btcusdt,buy,bybit,10,neg_1e1,120,276791,629148044.1166996,2.5883545006833257,2.3964774446795087
validation,btcusdt,buy,bybit,10,neg_1e5,120,1787083,4910156819.658316,0.8357839202210678,1.1487865470542877
validation,btcusdt,sell,bybit,10,neg_1e1,120,336836,859921270.3701999,-0.19124930216824418,-1.3282588226182905
validation,btcusdt,sell,bybit,10,neg_1e5,120,2207953,7642113117.694213,0.03655608958253567,-0.5991170835913222
validation,btcusdt,buy,bybit,30,neg_1e1,120,409226,887079226.2651998,1.0635934445817934,0.5486316703209141
validation,btcusdt,buy,bybit,30,neg_1e5,120,3338412,8665853819.130512,1.8432361845836305,1.7047924913894252
validation,btcusdt,sell,bybit,30,neg_1e1,120,424312,980082800.1805993,-0.5597409581079268,-1.0072766141027036
validation,btcusdt,sell,bybit,30,neg_1e5,120,3799137,11824370158.851608,-1.5707536993140194,-2.0934867854628525
validation,btcusdt,buy,bybit,60,neg_1e1,120,526961,1059726698.1256996,-0.9090292624501547,-0.6269325458887082
validation,btcusdt,buy,bybit,60,neg_1e5,120,4794835,11979695063.823606,0.9806336009726657,0.974842020037864
validation,btcusdt,sell,bybit,60,neg_1e1,120,519914,1108952028.8104994,-0.12900832485856628,-0.6555803052273078
validation,btcusdt,sell,bybit,60,neg_1e5,120,5291583,15350329339.868393,-1.2524269161162973,-1.6054339316933532
validation,btcusdt,buy,bybit,120,neg_1e1,120,636920,1257136795.1878004,-0.5542135777887063,-0.38243941223365685
validation,btcusdt,buy,bybit,120,neg_1e5,120,6789100,16375589150.627518,0.34728619395454025,0.10608841636257176
validation,btcusdt,sell,bybit,120,neg_1e1,120,643703,1273152655.2544994,-0.096890124314939,-0.4397969314996951
