split,symbol,side,venue,window_seconds,liq_pressure_bucket,maker_vs_liq_pressure,horizon_seconds,rows,clipped_turnover,weighted_pnl_bps,mean_pnl_bps
validation,btcusdt,sell,bybit,10,no_pressure,none,30,77753393,155707934493.2767,-0.4157603085501363,-0.4259687080344679
validation,btcusdt,sell,bybit,10,upward_pressure,opposite_direction,30,6871942,16744133520.874584,-0.4741222395532197,-0.5785600497546094
validation,btcusdt,buy,bybit,30,downward_pressure,opposite_direction,30,14742562,35234830320.61507,-0.46583574137119027,-0.2580933590232154
validation,btcusdt,buy,bybit,30,no_pressure,none,30,67454791,132598941992.62643,-0.33216195551205774,-0.30104305507783174
validation,btcusdt,buy,bybit,30,upward_pressure,same_direction_toxic_risk,30,12873457,36580042365.44704,0.4331365294286766,0.27774819490549824
validation,btcusdt,sell,bybit,30,downward_pressure,same_direction_toxic_risk,30,16567060,46915091372.3432,0.6308858679739243,0.13178405914510283
validation,btcusdt,sell,bybit,30,no_pressure,none,30,67330763,132108005669.9928,-0.32997872174293585,-0.34477607922226
validation,btcusdt,sell,bybit,30,upward_pressure,opposite_direction,30,11527884,26840218898.801075,-0.687167644476363,-0.7453641476370249
validation,btcusdt,buy,bybit,60,downward_pressure,opposite_direction,30,19848385,46074266935.268425,-0.5059742097311123,-0.3288165785791406
validation,btcusdt,buy,bybit,60,no_pressure,none,30,58187266,112829515476.34412,-0.2776631193195413,-0.26996385521349164
validation,btcusdt,buy,bybit,60,upward_pressure,same_direction_toxic_risk,30,17035159,45510032267.07606,0.22032881414086788,0.09972096146523302
validation,btcusdt,sell,bybit,60,downward_pressure,same_direction_toxic_risk,30,21546730,57530079613.879326,0.4771466521537923,0.019903277252198225
validation,btcusdt,sell,bybit,60,no_pressure,none,30,58001574,112495019490.49522,-0.380123233334483,-0.3752522015523807
validation,btcusdt,sell,bybit,60,upward_pressure,opposite_direction,30,15877403,35838216836.7624,-0.4778922768550919,-0.5219282838047774
validation,btcusdt,buy,bybit,120,downward_pressure,opposite_direction,30,26150632,58895944808.70307,-0.2938462935201328,-0.19947694809939467
validation,btcusdt,buy,bybit,120,no_pressure,none,30,46686189,89777139414.30063,-0.3171099038398915,-0.29688082755506384
validation,btcusdt,buy,bybit,120,upward_pressure,same_direction_toxic_risk,30,22233989,55740730455.68536,0.02084221974714511,-0.06564236303163833
validation,btcusdt,sell,bybit,120,downward_pressure,same_direction_toxic_risk,30,27550775,69394031402.5018,0.26453717030829826,-0.14764265767328785
validation,btcusdt,sell,bybit,120,no_pressure,none,30,46502053,89900029101.84102,-0.3516832957053253,-0.34219232592272547
validation,btcusdt,sell,bybit,120,upward_pressure,opposite_direction,30,21372879,46569255436.794235,-0.41184800367680086,-0.45117544420626615
validation,btcusdt,buy,bybit,300,downward_pressure,opposite_direction,30,35650412,77726648143.74617,-0.24335682626451813,-0.18848741246570597
validation,btcusdt,buy,bybit,300,no_pressure,none,30,29410177,56549736240.776245,-0.2868512667843273,-0.2811613386835536
validation,btcusdt,buy,bybit,300,upward_pressure,same_direction_toxic_risk,30,30010221,70137430294.16653,-0.13512243967157297,-0.18485420744034972
validation,btcusdt,sell,bybit,300,downward_pressure,same_direction_toxic_risk,30,36571897,86768537411.73853,0.07249428937977158,-0.2663996392606964
validation,btcusdt,sell,bybit,300,no_pressure,none,30,29234308,56728617557.71752,-0.32853905301341063,-0.3363855607578371
validation,btcusdt,sell,bybit,300,upward_pressure,opposite_direction,30,29619502,62366160971.681206,-0.32214825404327757,-0.3391851165214312
validation,btcusdt,buy,binance,1,downward_pressure,opposite_direction,120,3922250,10404056104.59709,-1.5009331794949188,-0.9606133553217934
validation,btcusdt,buy,binance,1,no_pressure,none,120,86894263,180245805277.94675,-0.06808055751616882,-0.06097009510810212
validation,btcusdt,buy,binance,1,upward_pressure,same_direction_toxic_risk,120,4254333,13764802985.017195,2.443291286370803,2.154803629546406
validation,btcusdt,sell,binance,1,downward_pressure,same_direction_toxic_risk,120,5423527,17958880163.935966,2.0445747199895035,1.145539157756628
validation,btcusdt,sell,binance,1,no_pressure,none,120,86760992,179789735923.5815,-0.548237493645424,-0.5472088294755894
validation,btcusdt,sell,binance,1,upward_pressure,opposite_direction,120,3241075,8115265601.461398,-1.898585364849873,-2.0466656514131296
validation,btcusdt,buy,binance,5,downward_pressure,opposite_direction,120,9497501,23321815597.379898,-0.7204124412657644,-0.3029099570779358
validation,btcusdt,buy,binance,5,no_pressure,none,120,75510394,151306629128.68973,-0.16065440063101383,-0.13929290128821414
validation,btcusdt,buy,binance,5,upward_pressure,same_direction_toxic_risk,120,10062951,29786219641.491592,1.5730024742071251,1.3412054232662407
validation,btcusdt,sell,binance,5,downward_pressure,same_direction_toxic_risk,120,11822363,35706845922.309616,1.0051065896182034,0.3413980302154873
validation,btcusdt,sell,binance,5,no_pressure,none,120,75451339,151264527816.34805,-0.5545947557330771,-0.5251652991105239
validation,btcusdt,sell,binance,5,upward_pressure,opposite_direction,120,8151892,18892507950.32066,-1.5485185280194371,-1.5099098009928238
validation,btcusdt,buy,binance,10,downward_pressure,opposite_direction,120,13244581,31358734511.396244,-0.5442391566608876,-0.19253225428142406
validation,btcusdt,buy,binance,10,no_pressure,none,120,68252886,134673173248.23601,-0.248056307263796,-0.18985516292323967
validation,btcusdt,buy,binance,10,upward_pressure,same_direction_toxic_risk,120,13573379,38382756607.92889,1.4646570883914238,1.1500236459752708
validation,btcusdt,sell,binance,10,downward_pressure,same_direction_toxic_risk,120,15661757,45159298028.28756,0.6469396303224001,0.045686371214232316
validation,btcusdt,sell,binance,10,no_pressure,none,120,68173275,134604835145.29192,-0.5190148973954136,-0.4838478507516211
validation,btcusdt,sell,binance,10,upward_pressure,opposite_direction,120,11590562,26099748515.399307,-1.4027013009262694,-1.3482479501586246
validation,btcusdt,buy,binance,30,downward_pressure,opposite_direction,120,21579390,48735682595.968666,-0.4932944464623281,-0.08693158982040491
validation,btcusdt,buy,binance,30,no_pressure,none,120,52123002,100228873397.47075,-0.3506876953357994,-0.3433616416413701
validation,btcusdt,buy,binance,30,upward_pressure,same_direction_toxic_risk,120,21368454,55450108374.12195,1.1710431478115055,0.9300862472961975
validation,btcusdt,sell,binance,30,downward_pressure,same_direction_toxic_risk,120,24055511,63542452157.68496,0.28299098693575075,-0.18036248140532807
validation,btcusdt,sell,binance,30,no_pressure,none,120,51911075,100420099365.43137,-0.3513502728112668,-0.33161049822451943
validation,btcusdt,sell,binance,30,upward_pressure,opposite_direction,120,19459008,41901330165.86224,-1.4308862756750285,-1.353817527667018
validation,btcusdt,buy,binance,60,downward_pressure,opposite_direction,120,27997095,61581134555.73457,-0.43781208935812277,-0.10838135193555248
validation,btcusdt,buy,binance,60,no_pressure,none,120,39144619,74252279728.542,-0.36498118979778527,-0.38932619408647645
validation,btcusdt,buy,binance,60,upward_pressure,same_direction_toxic_risk,120,27929132,68581250083.28468,0.8720465984900878,0.6579482498035893
validation,btcusdt,sell,binance,60,downward_pressure,same_direction_toxic_risk,120,30375836,76144913331.05162,0.0739377039466996,-0.25785532646663184
validation,btcusdt,sell,binance,60,no_pressure,none,120,38864277,74390975162.50624,-0.3319939318522711,-0.3319852392544144
validation,btcusdt,sell,binance,60,upward_pressure,opposite_direction,120,26185481,55327993195.42087,-1.0517163317506482,-1.0372915354961691
validation,btcusdt,buy,binance,120,downward_pressure,opposite_direction,120,34848938,75092744895.96535,-0.32729033512173394,-0.08968442195764373
validation,btcusdt,buy,binance,120,no_pressure,none,120,25612263,48313304999.28841,-0.34324824252277536,-0.3651629502833567
validation,btcusdt,buy,binance,120,upward_pressure,same_direction_toxic_risk,120,34609645,81008614472.30742,0.5790122723261029,0.3634706844929962
validation,btcusdt,sell,binance,120,downward_pressure,same_direction_toxic_risk,120,36706657,88000268837.78244,-0.061455208764818796,-0.381324833289005
validation,btcusdt,sell,binance,120,no_pressure,none,120,25546086,48967924090.604095,-0.48207894575805166,-0.43606153891683475
validation,btcusdt,sell,binance,120,upward_pressure,opposite_direction,120,33172851,68895688760.59216,-0.7002215534779187,-0.6861059293753514
validation,btcusdt,buy,binance,300,downward_pressure,opposite_direction,120,43146824,91316628602.79973,-0.3075387919472032,-0.1833567207143217
validation,btcusdt,buy,binance,300,no_pressure,none,120,10582541,20223591915.040592,-0.39796434298104416,-0.4268291166771232
validation,btcusdt,buy,binance,300,upward_pressure,same_direction_toxic_risk,120,41341481,92874443849.72067,0.45088904599049506,0.30307892846018436
validation,btcusdt,sell,binance,300,downward_pressure,same_direction_toxic_risk,120,44378935,102420323946.56549,-0.07851446256420443,-0.3725475066332539
validation,btcusdt,sell,binance,300,no_pressure,none,120,10541643,20480080528.8557,-0.3013197420267855,-0.3008628447492488
validation,btcusdt,sell,binance,300,upward_pressure,opposite_direction,120,40505016,82963477213.5577,-0.7599030220487853,-0.6960141657113521
validation,btcusdt,buy,bybit,1,downward_pressure,opposite_direction,120,2975162,8286205252.499583,-1.813639980789317,-1.1769894778937195
validation,btcusdt,buy,bybit,1,no_pressure,none,120,89062276,185391339702.7137,-0.06812895835758419,-0.050395911691713424
validation,btcusdt,buy,bybit,1,upward_pressure,same_direction_toxic_risk,120,3033408,10737119412.347406,3.110993366519114,2.6675092644046265
validation,btcusdt,sell,bybit,1,downward_pressure,same_direction_toxic_risk,120,4266057,14919907580.69708,2.5136408564458166,1.6213666522728483
validation,btcusdt,sell,bybit,1,no_pressure,none,120,88989068,185074611291.8538,-0.536707657159674,-0.5500864695256024
validation,btcusdt,sell,bybit,1,upward_pressure,opposite_direction,120,2170469,5869362816.427892,-2.6287443887570867,-2.700833559458589
validation,btcusdt,buy,bybit,5,downward_pressure,opposite_direction,120,6380098,16516465059.173328,-1.0976832793907974,-0.6878537435967749
validation,btcusdt,buy,bybit,5,no_pressure,none,120,82492591,167837529560.90952,-0.16698855429437717,-0.1098597742376335
validation,btcusdt,buy,bybit,5,upward_pressure,same_direction_toxic_risk,120,6198157,20060669747.47847,2.587211188412804,2.18657363707981
validation,btcusdt,sell,bybit,5,downward_pressure,same_direction_toxic_risk,120,8183602,26500260715.688545,1.4510221561711314,0.7385578223577841
validation,btcusdt,sell,bybit,5,no_pressure,none,120,82383563,167163678824.67175,-0.5186288424334011,-0.5200315786219746
validation,btcusdt,sell,bybit,5,upward_pressure,opposite_direction,120,4858429,12199942148.618279,-2.3781495165968134,-2.2844677062763385
validation,btcusdt,buy,bybit,10,downward_pressure,opposite_direction,120,8873740,22185183477.67105,-0.5991815024271228,-0.23401692202643123
validation,btcusdt,buy,bybit,10,no_pressure,none,120,77861709,156381160581.83685,-0.25795323549054366,-0.17517387522903555
validation,btcusdt,buy,bybit,10,upward_pressure,same_direction_toxic_risk,120,8335397,25848320308.05326,2.297107605906627,1.8976273831320787
validation,btcusdt,sell,bybit,10,downward_pressure,same_direction_toxic_risk,120,10800089,33411023035.15715,1.061930912039833,0.3588452068296982
