strategy,rows,final_pnl,pnl_volatility,max_drawdown,turnover,fill_count,buy_fills,sell_fills,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks,gamma,k,tau_seconds,max_inventory,quote_refresh_seconds,score
avellaneda_stoikov_mid,172790,-117.38050929999945,0.05416479563157686,136.93868675000022,633547.0301338016,8064,4025,4039,10966.0,109557.0,29677.443677296138,81.90507952796305,0.00001,0.025,180.0,100000.0,1.0,-131.0773457193672
avellaneda_stoikov_mid,172790,-118.84311754999999,0.053519243130543875,123.62827879999966,631597.7400857016,8044,4019,4025,-21023.0,108297.0,27926.50082759419,82.17450087981766,0.0001,0.025,30.0,100000.0,5.0,-131.2087380800827
avellaneda_stoikov_mid,172790,-119.24356184999971,0.057174958865117635,130.0612564499994,499250.8127430002,6310,3158,3152,39149.0,59986.0,32907.240847271256,81.1469425941172,0.00001,0.025,30.0,50000.0,0.5,-132.25297821908435
avellaneda_stoikov_mid,172790,-121.19710195000019,0.028935175701007607,123.36300375000013,604541.3269089994,7703,3851,3852,-5925.0,92222.0,15292.40003472423,83.89233313037977,0.0001,0.025,60.0,100000.0,1.0,-133.5349315650037
avellaneda_stoikov_mid,172790,-120.47174049999916,0.08421718453022002,135.38504440000028,625757.6213464014,7960,3995,3965,22830.0,109918.0,47302.341588054864,81.24788588894549,0.00001,0.025,60.0,100000.0,5.0,-134.014975174158
avellaneda_stoikov_mid,172790,-121.6704365000011,0.027985252748244215,123.90841080000115,601607.4102492996,7668,3831,3837,-6700.0,59884.0,14586.920603044158,83.92076257842591,0.0001,0.025,60.0,50000.0,1.0,-134.06273627206153
avellaneda_stoikov_mid,172790,-121.85986379999912,0.01874463693458874,122.43749319999927,607739.0775960968,7761,3877,3884,-3358.0,59621.0,9850.500109960067,89.82367524978874,0.0001,0.025,180.0,50000.0,2.0,-134.10459817001004
avellaneda_stoikov_mid,172790,-121.85986379999912,0.01874463693458874,122.43749319999927,607739.0775960968,7761,3877,3884,-3358.0,59621.0,9850.500109960067,89.82277804699245,0.0001,0.025,180.0,100000.0,2.0,-134.10459817001004
avellaneda_stoikov_mid,172790,-121.77843419999957,0.04807450167821254,124.33130884999937,607225.5617071002,7733,3873,3860,-29758.0,59807.0,24647.433769315354,81.79014551123815,0.00001,0.025,180.0,50000.0,5.0,-134.21402982837643
avellaneda_stoikov_mid,172790,-120.96828370000108,0.05522403114371364,132.88368615000093,597018.5267250014,7599,3802,3797,24390.0,59971.0,29965.03336998669,81.13341330519866,0.00001,0.025,30.0,50000.0,1.0,-134.25964881833818
avellaneda_stoikov_mid,172790,-121.4634522000004,0.06138396749873059,132.7403169000002,485867.66524689976,6145,3076,3069,39162.0,59999.0,34528.151548122,81.01047965464248,1e-6,0.025,60.0,50000.0,0.5,-134.74093670515524
avellaneda_stoikov_mid,172790,-121.66994960000017,0.06144931078100063,132.94681429999997,485706.00928449974,6143,3075,3068,39162.0,59999.0,34532.560518548526,81.00465033641554,1e-6,0.025,30.0,50000.0,0.5,-134.96808428605203
avellaneda_stoikov_mid,172790,-122.92742494999874,0.024671181864952575,123.65821824999877,579135.7770973013,7358,3678,3680,5125.0,56212.0,11542.03967822212,89.09189440835655,0.0001,0.025,180.0,50000.0,5.0,-135.29440097896645
avellaneda_stoikov_mid,172790,-123.39042494999882,0.02487591385276778,124.12121824999885,579821.1600973014,7365,3682,3683,5125.0,75969.0,11595.504936628276,89.08223254463638,0.0001,0.025,180.0,100000.0,5.0,-135.80370632549239
avellaneda_stoikov_mid,172790,-123.45135389999952,0.03297739350446573,124.77489969999952,666204.8097228019,8478,4239,4239,-710.0,86552.0,17144.74497945483,83.79307539210654,0.0001,0.025,60.0,100000.0,2.0,-135.93055834449743
avellaneda_stoikov_mid,172790,-123.58587255000037,0.04636650324881926,127.51606625000032,662321.6080662984,8423,4212,4211,2389.0,59539.0,24506.507008507437,81.89543578807434,0.00001,0.025,180.0,50000.0,2.0,-136.33992982570126
avellaneda_stoikov_mid,172790,-122.38238060000037,0.09907112429830818,147.00997980000017,613717.6323165982,7818,3923,3895,36188.0,109928.0,55337.20866948319,81.07619790650803,1e-6,0.025,180.0,100000.0,5.0,-137.08891230086735
