strategy,split,vol_window_seconds,vol_floor,sigma_multiplier,score,final_pnl,max_drawdown,turnover,fill_count,final_inventory,max_abs_inventory,avg_abs_inventory,avg_quoted_spread_ticks
avellaneda_stoikov_microprice,test,600.0,0.1,0.5,-627.9759525693252,-570.5642647500001,574.1054431000003,1739466.2917456015,25722,10571.0,73069.0,11435.093250063668,87.35868948672238
avellaneda_stoikov_microprice,test,600.0,0.05,0.5,-627.9759525693252,-570.5642647500001,574.1054431000003,1739466.2917456015,25722,10571.0,73069.0,11435.093250063668,87.35868948672238
avellaneda_stoikov_mid,validation,60.0,0.05,2.0,-31.77777308070735,-28.857954049999865,29.19408294999979,140565.66168380002,1764,-899.0,30289.0,4107.357075062214,118.61585161178309
avellaneda_stoikov_mid,validation,60.0,0.1,2.0,-31.77777308070735,-28.857954049999865,29.19408294999979,140565.66168380002,1764,-899.0,30289.0,4107.357075062214,118.61585161178309
avellaneda_stoikov_mid,validation,60.0,0.2,2.0,-31.77777308070735,-28.857954049999865,29.19408294999979,140565.66168380002,1764,-899.0,30289.0,4107.357075062214,118.61585161178309
avellaneda_stoikov_mid,validation,180.0,0.1,2.0,-34.55874594053285,-31.383988550000115,31.74352945000009,148269.33594870014,1867,1037.0,27310.0,4044.455327275884,118.57909601250073
avellaneda_stoikov_mid,validation,180.0,0.2,2.0,-34.55874594053285,-31.383988550000115,31.74352945000009,148269.33594870014,1867,1037.0,27310.0,4044.455327275884,118.57909601250073
avellaneda_stoikov_mid,validation,180.0,0.05,2.0,-34.55874594053285,-31.383988550000115,31.74352945000009,148269.33594870014,1867,1037.0,27310.0,4044.455327275884,118.57909601250073
avellaneda_stoikov_mid,validation,300.0,0.05,2.0,-35.78122417317019,-32.48804989999988,32.92780129999986,134349.39120659986,1685,1030.0,28586.0,3941.4317032235663,118.5948608137045
avellaneda_stoikov_mid,validation,300.0,0.1,2.0,-35.78122417317019,-32.48804989999988,32.92780129999986,134349.39120659986,1685,1030.0,28586.0,3941.4317032235663,118.5948608137045
avellaneda_stoikov_mid,validation,300.0,0.2,2.0,-35.78122417317019,-32.48804989999988,32.92780129999986,134349.39120659986,1685,1030.0,28586.0,3941.4317032235663,118.5948608137045
avellaneda_stoikov_mid,validation,600.0,0.2,2.0,-37.07086300139308,-33.663448550000055,34.07045360000004,132567.32404410004,1649,-4803.0,24563.0,3690.913930204294,118.55388622026737
